attendance,previous_cgpa,subject_difficulty,internal_marks,mid_sem_1,mid_sem_2,end_sem_marks
97.0,9.57,6.0,19.0,11.0,14.0,37.0
94.0,8.52,8.8,20.0,13.0,12.0,32.0
66.0,7.19,6.6,11.0,8.0,9.0,26.0
79.0,7.86,6.3,16.0,7.0,5.0,26.0
82.0,8.4,5.8,18.0,11.0,14.0,32.0
92.0,7.98,7.4,17.0,8.0,6.0,26.0
94.0,8.91,5.5,20.0,15.0,15.0,34.0
77.0,7.98,8.9,15.0,9.0,12.0,25.0
91.0,10.0,7.4,19.0,8.0,6.0,36.0
87.0,8.14,7.2,16.0,10.0,11.0,37.0
99.0,10.0,5.0,20.0,14.0,12.0,50.0
91.0,8.97,9.1,19.0,6.0,11.0,27.0
86.0,9.93,7.5,20.0,7.0,3.0,38.0
92.0,9.86,7.2,20.0,10.0,7.0,28.0
76.0,0.0,8.8,17.0,3.0,1.0,9.0
81.0,8.97,5.3,14.0,13.0,11.0,30.0
81.0,7.37,6.8,16.0,8.0,9.0,16.0
91.0,7.65,7.9,18.0,7.0,11.0,26.0
76.0,7.13,7.3,15.0,0.0,2.0,14.0
90.0,0.0,5.9,18.0,14.0,14.0,35.0
100.0,10.0,6.5,18.0,14.0,14.0,48.0
100.0,8.82,6.5,20.0,13.0,12.0,48.0
88.0,9.29,10.0,17.0,7.0,8.0,31.0
79.0,0.0,6.6,14.0,12.0,12.0,33.0
95.0,9.51,6.0,20.0,11.0,11.0,42.0
87.0,8.19,9.1,18.0,8.0,7.0,28.0
88.0,8.13,7.1,19.0,12.0,10.0,41.0
86.0,9.02,7.2,18.0,12.0,12.0,34.0
73.0,8.59,7.7,11.0,7.0,7.0,30.0
83.0,8.45,8.0,15.0,8.0,7.0,31.0
95.0,9.49,8.0,20.0,10.0,8.0,30.0
77.0,0.0,5.2,17.0,13.0,14.0,37.0
95.0,9.18,9.1,16.0,12.0,13.0,29.0
81.0,0.0,6.0,17.0,9.0,13.0,43.0
79.0,9.04,6.5,14.0,11.0,14.0,36.0
90.0,9.93,5.9,14.0,9.0,7.0,41.0
92.0,9.28,8.8,20.0,12.0,12.0,31.0
93.0,8.63,7.9,19.0,10.0,7.0,36.0
97.0,9.27,8.8,20.0,9.0,5.0,42.0
71.0,6.98,8.3,12.0,9.0,13.0,16.0
83.0,8.42,5.5,14.0,9.0,12.0,23.0
87.0,8.35,6.5,14.0,12.0,11.0,39.0
98.0,10.0,7.5,20.0,12.0,14.0,47.0
78.0,8.23,6.5,12.0,9.0,12.0,25.0
87.0,8.3,6.0,20.0,10.0,6.0,38.0
77.0,7.23,9.3,13.0,5.0,7.0,18.0
88.0,9.54,8.7,15.0,13.0,12.0,29.0
93.0,9.21,6.7,18.0,11.0,12.0,43.0
92.0,9.93,8.8,17.0,9.0,15.0,37.0
94.0,8.2,8.1,19.0,9.0,12.0,32.0
86.0,9.07,5.0,15.0,15.0,15.0,47.0
87.0,0.0,6.9,17.0,12.0,15.0,37.0
84.0,8.4,6.5,15.0,10.0,6.0,27.0
92.0,8.81,6.1,20.0,13.0,14.0,36.0
92.0,9.0,6.3,19.0,11.0,12.0,43.0
84.0,8.35,9.7,17.0,5.0,6.0,26.0
76.0,8.69,7.4,17.0,7.0,6.0,13.0
78.0,6.71,9.2,16.0,8.0,9.0,13.0
70.0,7.93,6.1,14.0,12.0,14.0,31.0
78.0,8.36,5.9,15.0,11.0,6.0,32.0
82.0,9.06,9.4,15.0,8.0,7.0,36.0
72.0,7.47,7.5,13.0,6.0,4.0,30.0
81.0,7.32,9.5,16.0,5.0,6.0,21.0
66.0,7.64,5.3,15.0,8.0,11.0,27.0
88.0,8.36,9.6,19.0,6.0,5.0,19.0
77.0,7.68,7.1,17.0,7.0,5.0,28.0
72.0,7.92,5.8,12.0,9.0,9.0,26.0
83.0,8.6,8.4,18.0,8.0,6.0,25.0
98.0,9.62,9.0,19.0,10.0,10.0,29.0
78.0,7.24,5.2,16.0,9.0,8.0,23.0
93.0,8.37,9.9,20.0,8.0,9.0,25.0
60.0,6.01,8.5,10.0,4.0,5.0,4.0
82.0,8.45,6.6,17.0,9.0,9.0,27.0
90.0,8.79,5.8,18.0,15.0,15.0,47.0
74.0,6.64,7.0,17.0,3.0,4.0,21.0
87.0,9.0,6.1,16.0,11.0,10.0,31.0
100.0,9.12,7.5,20.0,10.0,9.0,38.0
90.0,9.01,8.9,18.0,11.0,9.0,36.0
69.0,8.29,8.3,13.0,7.0,5.0,29.0
87.0,0.0,7.2,16.0,12.0,9.0,28.0
92.0,8.11,5.6,17.0,9.0,11.0,28.0
73.0,7.59,9.8,14.0,4.0,3.0,19.0
78.0,7.95,6.4,19.0,6.0,7.0,28.0
84.0,0.0,6.4,17.0,11.0,10.0,31.0
89.0,9.79,8.2,19.0,14.0,14.0,26.0
83.0,0.0,8.9,17.0,10.0,12.0,34.0
75.0,7.68,9.9,14.0,3.0,3.0,19.0
66.0,7.0,9.8,13.0,5.0,3.0,15.0
87.0,9.26,9.6,19.0,7.0,6.0,36.0
93.0,9.28,7.2,18.0,9.0,11.0,27.0
100.0,9.71,5.8,20.0,13.0,14.0,34.0
66.0,6.2,7.9,13.0,6.0,8.0,20.0
76.0,7.54,5.1,13.0,8.0,8.0,18.0
88.0,0.0,6.0,20.0,11.0,8.0,38.0
93.0,9.36,5.0,18.0,15.0,15.0,39.0
94.0,0.0,5.9,20.0,12.0,13.0,46.0
72.0,0.0,7.4,15.0,8.0,9.0,15.0
96.0,8.43,7.0,20.0,8.0,5.0,39.0
76.0,9.43,6.8,15.0,11.0,10.0,30.0
99.0,9.44,9.2,18.0,8.0,6.0,30.0
71.0,7.76,8.4,16.0,4.0,5.0,19.0
86.0,8.36,9.7,16.0,7.0,8.0,26.0
86.0,10.0,7.2,20.0,14.0,14.0,37.0
96.0,9.05,6.4,20.0,14.0,15.0,44.0
88.0,8.0,5.6,20.0,11.0,14.0,39.0
96.0,9.56,8.4,17.0,11.0,12.0,38.0
75.0,7.24,9.2,17.0,5.0,6.0,20.0
68.0,7.71,5.9,12.0,9.0,8.0,22.0
85.0,9.02,9.4,12.0,10.0,9.0,35.0
89.0,9.8,7.6,20.0,9.0,11.0,33.0
88.0,9.1,5.7,18.0,15.0,13.0,37.0
94.0,8.65,8.2,20.0,11.0,12.0,27.0
79.0,7.74,7.6,16.0,8.0,11.0,32.0
98.0,0.0,5.1,20.0,13.0,14.0,44.0
96.0,8.65,7.0,20.0,8.0,8.0,41.0
80.0,8.45,8.9,16.0,7.0,4.0,21.0
98.0,0.0,7.8,19.0,13.0,13.0,48.0
80.0,7.17,6.4,16.0,9.0,11.0,21.0
89.0,8.03,9.6,18.0,5.0,5.0,29.0
88.0,8.81,6.2,12.0,7.0,9.0,31.0
82.0,8.98,6.3,17.0,8.0,9.0,23.0
78.0,0.0,6.8,18.0,7.0,8.0,34.0
99.0,9.09,9.5,20.0,12.0,11.0,30.0
80.0,7.68,7.5,15.0,8.0,5.0,32.0
94.0,9.28,8.4,20.0,11.0,10.0,33.0
72.0,8.49,9.9,18.0,6.0,5.0,23.0
92.0,9.36,8.9,19.0,7.0,8.0,29.0
82.0,8.36,5.9,17.0,12.0,12.0,23.0
84.0,9.43,8.9,16.0,8.0,10.0,35.0
89.0,10.0,8.7,16.0,14.0,15.0,40.0
74.0,7.81,6.2,15.0,9.0,8.0,35.0
82.0,8.45,6.6,16.0,9.0,7.0,33.0
72.0,6.58,8.6,11.0,2.0,1.0,6.0
80.0,7.63,6.2,15.0,7.0,7.0,17.0
93.0,9.04,6.0,20.0,15.0,14.0,34.0
89.0,9.03,8.5,17.0,10.0,8.0,29.0
95.0,9.33,9.4,14.0,11.0,13.0,41.0
95.0,0.0,5.4,20.0,11.0,11.0,39.0
82.0,8.04,7.2,15.0,9.0,10.0,17.0
92.0,8.64,8.0,17.0,9.0,7.0,15.0
85.0,0.0,8.4,19.0,9.0,7.0,26.0
89.0,8.76,10.0,16.0,8.0,8.0,21.0
80.0,7.77,8.4,12.0,3.0,0.0,23.0
93.0,9.33,8.1,19.0,10.0,12.0,26.0
81.0,10.0,9.9,18.0,7.0,6.0,24.0
100.0,0.0,5.3,19.0,14.0,13.0,48.0
87.0,8.43,5.4,17.0,10.0,11.0,44.0
91.0,9.64,7.8,16.0,10.0,10.0,28.0
76.0,8.37,6.8,13.0,7.0,5.0,27.0
84.0,7.2,5.5,16.0,12.0,15.0,38.0
96.0,9.79,6.5,20.0,11.0,8.0,47.0
86.0,9.33,8.4,17.0,9.0,5.0,31.0
84.0,9.69,9.4,19.0,13.0,15.0,38.0
72.0,6.63,5.5,18.0,7.0,4.0,20.0
92.0,7.98,7.7,20.0,6.0,9.0,36.0
96.0,0.0,6.5,16.0,15.0,15.0,38.0
98.0,9.4,8.3,19.0,14.0,15.0,37.0
90.0,9.08,7.7,20.0,14.0,13.0,29.0
94.0,9.44,9.6,19.0,12.0,10.0,31.0
73.0,7.19,5.2,11.0,6.0,5.0,25.0
78.0,0.0,7.4,14.0,9.0,7.0,32.0
100.0,9.26,6.0,15.0,10.0,12.0,50.0
100.0,9.99,7.7,19.0,10.0,9.0,50.0
61.0,6.94,9.3,11.0,2.0,3.0,12.0
67.0,6.46,9.6,13.0,2.0,4.0,20.0
80.0,8.88,7.0,18.0,8.0,6.0,22.0
86.0,0.0,9.1,15.0,8.0,9.0,31.0
81.0,0.0,6.4,15.0,8.0,6.0,27.0
85.0,8.23,5.0,15.0,9.0,9.0,31.0
86.0,9.05,9.3,19.0,11.0,10.0,39.0
89.0,8.78,5.6,20.0,15.0,14.0,34.0
66.0,6.76,5.1,14.0,4.0,4.0,14.0
92.0,9.21,6.8,19.0,12.0,10.0,34.0
89.0,8.54,6.9,15.0,8.0,10.0,27.0
93.0,9.67,5.4,19.0,14.0,12.0,33.0
73.0,7.68,9.1,12.0,4.0,1.0,19.0
84.0,8.46,7.0,17.0,8.0,7.0,32.0
97.0,10.0,7.4,19.0,15.0,14.0,42.0
81.0,8.77,6.3,15.0,7.0,8.0,31.0
96.0,8.96,7.6,19.0,6.0,6.0,34.0
82.0,8.07,8.8,18.0,11.0,8.0,27.0
76.0,7.56,9.5,19.0,6.0,8.0,22.0
100.0,10.0,9.9,20.0,10.0,9.0,37.0
84.0,9.28,7.1,20.0,15.0,15.0,32.0
89.0,10.0,10.0,18.0,12.0,15.0,34.0
78.0,7.22,6.5,19.0,8.0,11.0,33.0
67.0,0.0,5.0,14.0,6.0,6.0,35.0
85.0,8.6,8.8,17.0,11.0,8.0,33.0
95.0,8.45,5.9,19.0,8.0,5.0,36.0
85.0,8.27,5.3,18.0,10.0,12.0,35.0
99.0,9.49,9.6,20.0,10.0,9.0,39.0
76.0,8.61,9.0,12.0,8.0,8.0,26.0
75.0,0.0,5.5,16.0,7.0,5.0,26.0
77.0,7.14,8.9,12.0,5.0,6.0,17.0
84.0,8.13,9.2,18.0,11.0,13.0,26.0
81.0,7.65,9.5,17.0,3.0,6.0,24.0
99.0,9.23,7.7,20.0,11.0,10.0,41.0
83.0,9.9,8.5,15.0,9.0,10.0,37.0
93.0,9.5,8.8,17.0,12.0,12.0,26.0
98.0,9.53,8.4,20.0,11.0,13.0,47.0
84.0,8.39,8.2,15.0,10.0,10.0,32.0
73.0,7.32,7.7,12.0,9.0,7.0,18.0
76.0,6.83,7.4,16.0,3.0,6.0,27.0
99.0,8.53,10.0,20.0,9.0,9.0,27.0
76.0,7.45,6.7,16.0,4.0,3.0,26.0
84.0,7.14,5.4,18.0,8.0,8.0,23.0
73.0,7.91,8.8,16.0,5.0,4.0,22.0
91.0,9.26,6.1,18.0,14.0,15.0,38.0
88.0,8.15,7.7,18.0,8.0,8.0,21.0
83.0,9.32,5.5,16.0,8.0,6.0,37.0
75.0,6.76,8.1,15.0,9.0,14.0,23.0
84.0,8.06,9.7,14.0,5.0,3.0,25.0
100.0,9.05,8.6,20.0,12.0,13.0,38.0
73.0,6.91,6.1,17.0,7.0,7.0,21.0
87.0,8.63,9.9,19.0,8.0,6.0,32.0
94.0,9.45,6.5,20.0,10.0,9.0,34.0
100.0,8.84,7.2,18.0,13.0,10.0,31.0
79.0,7.67,7.5,13.0,9.0,13.0,26.0
86.0,8.22,10.0,19.0,7.0,6.0,30.0
73.0,7.09,5.3,15.0,9.0,9.0,31.0
74.0,8.15,8.5,15.0,10.0,14.0,34.0
89.0,8.48,6.8,18.0,10.0,8.0,33.0
90.0,0.0,5.4,19.0,11.0,14.0,38.0
88.0,8.97,9.7,19.0,11.0,12.0,31.0
81.0,7.83,7.9,16.0,11.0,7.0,25.0
73.0,7.76,8.8,11.0,7.0,6.0,22.0
95.0,9.04,6.2,20.0,10.0,11.0,38.0
91.0,9.62,8.8,19.0,7.0,7.0,31.0
90.0,8.89,9.1,15.0,9.0,9.0,33.0
100.0,9.13,7.2,18.0,10.0,9.0,38.0
69.0,6.93,7.9,16.0,3.0,2.0,11.0
94.0,8.93,9.9,20.0,13.0,12.0,32.0
90.0,8.56,9.2,13.0,9.0,13.0,24.0
95.0,9.51,7.2,20.0,11.0,9.0,40.0
80.0,7.84,8.3,16.0,8.0,7.0,20.0
92.0,9.82,8.9,19.0,8.0,8.0,40.0
93.0,8.25,5.1,19.0,13.0,10.0,34.0
81.0,0.0,7.9,15.0,4.0,5.0,24.0
